stationCode,station_id,postcode,city
16107,213688169,75016,Paris
31104,653222953,93110,Rosny-sous-Bois
44015,17278902806,94400,Vitry-sur-Seine
9020,36255,75009,Paris
12109,37815204,75012,Paris
14111,251039991,75014,Paris
14014,85002689,75014,Paris
32017,2515829865,93200,Saint-Denis
11104,516709288,75011,Paris
8026,120827885,75008,Paris
13007,66491398,75013,Paris
6003,37874517,75006,Paris
7002,210565680,75007,Paris
5110,210403080,75005,Paris
6108,210561800,75006,Paris
33006,209063434,93300,Aubervilliers
42016,94555589,94200,Ivry-sur-Seine
41301,244498842,94130,Nogent-sur-Marne
6021,210405211,75006,Paris
21010,43195240,92100,Boulogne-Billancourt
25006,501862076,92500,Rueil-Malmaison
30002,17486274358,93000,Bobigny
17038,207633746,75017,Paris
15202,16560752067,75015,Paris
7003,210566542,75007,Paris
17041,85043758,75017,Paris
17026,54000559,75017,Paris
5016,210397939,75005,Paris
11025,82405965,,
15047,213682736,75015,Paris
8050,128986726,75008,Paris
13101,54000581,75013,Paris
14108,13105968,75014,Paris
31024,653208733,93100,Montreuil
15026,27415224,75015,Paris
2022,54000536,75002,Paris
17044,129094535,75017,Paris
19033,54000612,75019,Paris
17025,80101533,75017,Paris
21326,17486876370,92130,Issy-les-Moulineaux
20143,599135701,75020,Paris
43002,102747146,94300,Vincennes
16138,2515403527,75116,Paris
21216,653132534,92120,Montrouge
15068,506455295,75015,Paris
22207,1057149522,92220,Bagneux
7004,210567545,75007,Paris
92002,653197324,92000,Nanterre
13030,2515085147,75013,Paris
19027,42950839,75019,Paris
31028,14813797734,93100,Montreuil
17048,88230992,75017,Paris
44017,499303158,94400,Vitry-sur-Seine
10013,123095125,75010,Paris
16118,27415302,75016,Paris
2017,27414512,75002,Paris
9008,210580039,75009,Paris
8103,49474389,75008,Paris
8048,128940135,75016,Paris
14013,35149611,75014,Paris
13118,1057296253,75013,Paris
15112,576188379,75015,Paris
18111,129107656,75018,Paris
9002,210574471,75009,Paris
48003,1057228658,94800,Villejuif
16110,230873471,75016,Paris
14002,205047993,75014,Paris
9014,39799329,75009,Paris
43009,129164969,94300,Vincennes
8053,128989986,75008,Paris
9001,129004826,75009,Paris
17032,518825709,75017,Paris
8016,128930462,75008,Paris
10162,911767210,75010,Paris
10115,54000565,75010,Paris
10029,210586093,75010,Paris
5005,7254,75005,Paris
10161,369644630,75010,Paris
41303,214114469,94130,Nogent-sur-Marne
12031,55927887,75012,Paris
7011,210570888,75007,Paris
7018,128887067,75007,Paris
5022,72765603,75005,Paris
9106,210582921,75009,Paris
21328,16659953198,92130,Issy-les-Moulineaux
21323,17486828694,92130,Issy-les-Moulineaux
8201,16659964929,75008,Paris
13104,35196898,75013,Paris
17040,43255030,75017,Paris
9038,129025451,75009,Paris
8009,128920403,75008,Paris
1001,323616530,75001,Paris
31103,1062192012,93110,Rosny-sous-Bois
17008,521393180,75017,Paris
6001,6296,75006,Paris
19105,208795867,75019,Paris
31706,82567101,93170,Bagnolet
22409,457813746,92240,Malakoff
5020,128882438,75005,Paris
19015,50191171,75019,Paris
9022,129014600,75009,Paris
26003,3906153622,92600,Asnières-sur-Seine
17004,129087587,75017,Paris
19003,213693511,75019,Paris
8036,82379648,75008,Paris
12151,66491397,75012,Paris
18107,230877798,75018,Paris
92007,2515995748,92000,Nanterre
16026,27363162,75016,Paris
9028,129021753,75009,Paris
10107,210740080,75010,Paris
26002,3906094706,92600,Asnières-sur-Seine
17043,80216231,75017,Paris
19026,336511521,75019,Paris
16039,82562556,75016,Paris
11023,129048000,75011,Paris
45003,1062250686,94500,Champigny-sur-Marne
11002,129043651,75011,Paris
12111,27363489,75012,Paris
8034,39296638,75008,Paris
11047,813544903,75011,Paris
19043,205938683,75019,Paris
5032,210399835,75005,Paris
20042,102324803,75020,Paris
15067,101763163,75015,Paris
43401,653133605,94340,Joinville-le-Pont
17030,126050442,75017,Paris
6006,27414578,75006,Paris
11027,54000569,75011,Paris
12128,508042092,75012,Paris
8010,42603855,75008,Paris
31022,818302209,93100,Montreuil
19101,13718041,75019,Paris
14003,265464297,75014,Paris
46002,1057392676,94600,Choisy-le-Roi
11113,532054446,75011,Paris
10016,129034587,75010,Paris
31009,261987383,93100,Montreuil
41302,314829539,94130,Nogent-sur-Marne
14020,1057324291,75014,Paris
5018,37815993,75005,Paris
33017,583539396,93300,Aubervilliers
15042,101753100,75015,Paris
20112,27415466,75020,Paris
18011,81081358,75018,Paris
43008,66491385,94300,Vincennes
33102,209057581,93310,Le Pré-Saint-Gervais
42706,3906335682,94270,Le Kremlin-Bicêtre
21212,586539770,92120,Montrouge
15104,535500589,75015,Paris
44006,597245295,94400,Vitry-sur-Seine
19120,235513935,75019,Paris
18003,102309973,75018,Paris
18031,27363187,75018,Paris
5004,27206194,75005,Paris
19103,102323152,75019,Paris
14138,828134511,75014,Paris
12114,129060764,75012,Paris
46003,586649404,94600,Choisy-le-Roi
41209,596813170,94120,Fontenay-sous-Bois
21312,596872103,92130,Issy-les-Moulineaux
10024,271426439,75010,Paris
13001,210749865,75013,Paris
8045,66491389,75008,Paris
18028,76199461,75018,Paris
42014,230952057,94200,Ivry-sur-Seine
8017,88140066,75008,Paris
15054,213683101,75015,Paris
15106,213684750,75015,Paris
14008,129067920,75014,Paris
5124,2515049357,75005,Paris
14106,27364743,75014,Paris
18046,102314792,75018,Paris
22406,35447568,92240,Malakoff
31102,583178525,93100,Montreuil
2111,2514995690,75002,Paris
18022,66491402,75018,Paris
8054,82387816,75008,Paris
15109,213685090,75015,Paris
21209,301841024,92120,Montrouge
14012,213679512,75014,Paris
21005,85147829,92100,Boulogne-Billancourt
35010,588452142,93500,Pantin
10042,129038848,75010,Paris
17203,17581042048,75017,Paris
14124,213681356,75014,Paris
15133,2515351285,75015,Paris
15110,213685514,75015,Paris
21006,102329800,92100,Boulogne-Billancourt
44013,572566600,94400,Vitry-sur-Seine
